id,quest_id,seq_index,text
190,170,0,成为黑客的第一步。收集1张鸡冠呛符咒，交给乌骨鸡。
191,171,0,在清野江的钓鱼场里钓{0xFFFFFF00}1条真鲷{END}交给偷笔怪盗，然后向乌骨鸡报告。
192,171,1,去找清阴关邪派建筑里面的乌骨鸡
193,172,0,{0xFFFFFF00}查看角色的名声，超过100{END}的话与乌骨鸡对话吧。
194,173,0,成为忍者的第一步。收集{0xFFFFFF00}1张鸡冠呛符咒{END}，交给白斩姬。
195,174,0,在清野江的钓鱼场里钓{0xFFFFFF00}1条真鲷{END}交给{0xFFFFFF00}偷笔怪盗{END}，虽然他有点儿不太可靠，然后向白斩姬报告。
196,175,0,{0xFFFFFF00}查看角色的名声，超过100{END}的话与白斩姬对话吧。
197,176,0,成为杀手的第一步。收集1张鸡冠呛符咒，交给乌骨鸡。
198,177,0,在清野江的钓鱼场里钓1条真鲷交给偷笔怪盗，然后向乌骨鸡报告。
199,177,1,去找清阴关邪派建筑里面的乌骨鸡
200,178,0,{0xFFFFFF00}查看角色的名声，超过100{END}的话与乌骨鸡对话吧。
201,179,0,成为白云道士的第一步。收集{0xFFFFFF00}1张鸡冠呛符咒{END}，交给白斩姬。
202,180,0,在清野江的钓鱼场里钓{0xFFFFFF00}1条真鲷{END}交给偷笔怪盗，虽然他有点儿不太可靠，然后向白斩姬报告。
203,181,0,{0xFFFFFF00}查看角色的名声，超过100{END}的话与白斩姬对话吧。
204,182,0,成为黑马道士的第一步。收集{0xFFFFFF00}1张鸡冠呛符咒{END}，交给乌骨鸡。
205,183,0,在清野江的钓鱼场里钓{0xFFFFFF00}1条真鲷{END}交给偷笔怪盗，然后向乌骨鸡报告。
206,183,1,回到清阴关邪派建筑的{0xFFFFFF00}乌骨鸡{END}处。
207,184,0,{0xFFFFFF00}查看角色的名声，超过100{END}的话与{0xFFFFFF00}乌骨鸡{END}对话吧。
218,198,0,老当家说收集回来{0xFFFFFF00}15个[ 蓝蜗牛的壳 ] {END}就会给做饼吃。想快点品尝天下第一的饼。
306,276,0,为了制作符咒，把{0xFFFFFF00}50个影魔粉和50个痛苦的粘液，50个痛苦黑晶体，50个红树生死液{END}收集之后，拿给龙林城的哞读册吧。
307,277,0,拿着符咒去找{0xFFFFFF00}冥珠城的怪盗{END}。
308,278,0,为了完成符咒，要按{0xFFFFFF00}武士转职NPC和刺客转职NPC，道士转职NPC{END}的顺序去见他们，拿来他们的鬼力的吧？那先去找{0xFFFFFF00}武士转职NPC{END}吧。
309,279,0,拿着符咒去找{0xFFFFFF00}道士转职NPC{END}吧。
310,280,0,拿着符咒去找{0xFFFFFF00}刺客转职NPC{END}吧。
311,281,0,拿着符咒回到{0xFFFFFF00}偷笔怪盗{END}处。
386,352,0,{0xFFFFFF00}狂烈符是装备斧时可以使攻击力自动上升的内功武功{END}。和力士转职NPC完成对话后，才能学习狂烈符。
387,353,0,{0xFFFFFF00}强轮是装备轮时，可以使攻击力自动上升的内功武功{END}。和力士转职NPC完成对话后，才能学习强轮。
388,354,0,{0xFFFFFF00}太斧出击是连带斧子的重量一起，强力攻击的武功{END}。和力士转职NPC完成对话后，才能学习太斧出击。
389,355,0,{0xFFFFFF00}横轮抛是利用肌肉的爆发力，以极快的速度瞬间连挥3次的武功{END}。和力士转职NPC完成对话后，才能学习横轮抛。
390,356,0,{0xFFFFFF00}斧头斩是利用斧头的侧面，像挥舞锤头一样攻击的武功{END}。和力士转职NPC完成对话后，才能学习斧头斩。
391,357,0,{0xFFFFFF00}天轮仙器是使用强力挥舞天轮，给对手伤害的武功{END}。和力士转职NPC完成对话后，才能学习天轮仙器。
392,358,0,{0xFFFFFF00}碧波雷是用强气包围身体，受到攻击时可以将一定比例的伤害吸收为鬼力的武功{END}。和力士转职NPC完成对话后，才能学习碧波雷。
393,359,0,{0xFFFFFF00}真功护体是原地变成一个柱子，拥有铁壁般的防御力的武功{END}。和力士转职NPC完成对话后，才能学习真功护体。
394,360,0,{0xFFFFFF00}无限真气是接受月亮的气息，慢慢治疗外伤的恢复武功{END}。和力士转职NPC完成对话后，才能学习无限真气。
395,361,0,{0xFFFFFF00}猛龙胜出是劲力被呼唤出一次后就会像老虎一样勇猛起来的武功{END}。和力士转职NPC完成对话后，才能学习猛龙胜出。
397,363,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
398,364,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
399,365,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
400,366,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
401,367,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
402,368,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
403,369,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
404,370,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
405,371,0,击退{0xFFFFFF00}2只[ 鸡冠呛 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 天然聚气 ]{END}武功。
406,372,0,击退{0xFFFFFF00}2只[ 鸡冠呛 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 天然聚气 ]{END}武功。
407,373,0,击退{0xFFFFFF00}2只[ 鸡冠呛 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 天然聚气 ]{END}武功。
408,374,0,击退{0xFFFFFF00}2只[ 鸡冠呛 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 天然聚气 ]{END}武功。
409,375,0,击退2只[ 鸡冠呛 ]，然后跟清阴关的[ 乌骨鸡 ]学习[ 天然聚气 ]武功。
410,376,0,击退2只[ 鸡冠呛 ]，然后跟清阴关的[ 乌骨鸡 ]学习[ 天然聚气 ]武功。
411,377,0,击退2只[ 鸡冠呛 ]，然后跟清阴关的[ 乌骨鸡 ]学习[ 天然聚气 ]武功。
412,378,0,击退2只[ 鸡冠呛 ]，然后跟清阴关的[ 乌骨鸡 ]学习[ 天然聚气 ]武功。
415,381,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，然后拿着证书和证明去找{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 飞龙掌 ]{END}吧。
416,382,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，拿到证书和证明之后回到清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}处。
417,383,0,成为杀手的第一步。收集1张鸡冠呛符咒，交给乌骨鸡。
418,384,0,在清野江的钓鱼场里钓{0xFFFFFF00}1条真鲷{END}交给偷笔怪盗，虽然他有点儿不太可靠，然后向白斩姬报告。
419,385,0,{0xFFFFFF00}查看角色的名声，超过100{END}的话与白斩姬对话吧。
420,386,0,成为天马斗士的第一步。收集{0xFFFFFF00}1张鸡冠呛符咒{END}，交给乌骨鸡。
421,387,0,在清野江的钓鱼场里钓{0xFFFFFF00}1条真鲷{END}交给偷笔怪盗，然后向乌骨鸡报告。
422,387,1,回到清阴关邪派建筑的{0xFFFFFF00}乌骨鸡{END}处。
423,388,0,{0xFFFFFF00}查看角色的名声，超过100{END}的话与乌骨鸡对话吧。
497,462,0,去找{0xFFFFFF00}龙林客栈的南呱湃{END}。
498,463,0,去找{0xFFFFFF00}偷笔怪盗{END}，确认秋叨鱼的行踪。
499,464,0,在{0xFFFFFF00}生死之塔{END}击退火焰怪，收集{0xFFFFFF00}50个火焰碎片{END}拿给{0xFFFFFF00}偷笔怪盗{END}。
500,465,0,收集{0xFFFFFF00}25个鬼声符咒{END}和{0xFFFFFF00}25个影魔粉{END}，拿给怪盗。
501,466,0,给偷笔怪盗送铁牛运功散的{0xFFFFFF00}20个肉块{END}吧。
525,485,0,去生死之塔击退红树妖，收集50个红树生死液交给住持
526,486,0,去第一阶梯击退幽灵使者，收集50个幽灵帽子交给住持
527,487,0,去天吟仙橋或固落峰，收集50个冰肌怪的冰柱
528,488,0,去找不明来历的僧人对话
529,488,1,向住持询问咒术阵的阵法影响内部的原因
530,489,0,进入第一寺内部，跟太乙仙女说说咒术阵的事情
531,489,1,对千手妖女很好奇。问问住持有关千手妖女的事情吧
532,490,0,在固落峰击退龙凤鸣后，回到住持处
533,491,0,击退天吟仙橋或固落峰的雪魔女，收集50个冰花后，回到住持处
534,492,0,在生死之塔击退红树妖，收集50个红树生死液
535,493,0,去找太乙仙女
536,493,1,去找住持，领取第一寺印章
537,494,0,通过太乙仙女移动到千手妖女被封印的地方击退千手妖女
538,495,0,把击退千手妖女的事情转告住持
539,497,0,在天吟仙橋或固落峰击退双头鸡怪，收集50个雪卵回到住持处
560,517,0,去找龙林城哞读册，领取不明来历的僧人托付的书
561,518,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
562,519,0,去找龙林城哞读册，领取不明来历的僧人托付的书
563,520,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
564,521,0,去找龙林城哞读册，领取不明来历的僧人托付的书
565,522,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
566,523,0,去找龙林城哞读册，领取不明来历的僧人托付的书
567,524,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
568,525,0,去找龙林城哞读册，领取不明来历的僧人托付的书
569,526,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
570,527,0,去找龙林城哞读册，领取不明来历的僧人托付的书
571,528,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
572,529,0,去找龙林城哞读册，领取不明来历的僧人托付的书
573,530,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
574,531,0,去找龙林城哞读册，领取不明来历的僧人托付的书
575,532,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
576,533,0,去见太乙仙女，再一次感谢赠与了万年花种子
577,534,0,为了修炼凌空后步去固落峰。趁此机会也帮不明来历的僧人收集50个摇浪鼓童子的小鼓
578,535,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
579,536,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
580,537,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
581,538,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
582,539,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
583,540,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
584,541,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
585,542,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
603,560,0,击退第一阶梯的大脚怪收集50个毒蘑菇，交给冥珠城名田瞧
604,561,0,击退第一阶梯的骷髅鸟收集50个骷髅鸟碎片，交给冥珠城名田瞧
605,562,0,击退100个幽灵使者之后，回到老长老处
606,563,0,击退100个雪魔女之后，回到不明来历的僧人处
607,564,0,去第一阶梯击退100个地狱狂牛，回到不明来历的僧人处
656,613,0,{0xFFFFFF00}韩野格弓是使用弓时物理攻击力得到上升的武功{END}。和射手转职NPC完成对话后，才能学习韩野格弓。
657,614,0,{0xFFFFFF00}崩天炮是使用大炮时物理攻击力得到上升的武功{END}。和射手转职NPC完成对话后，才能学习崩天炮。
658,615,0,虎三弓是同时发射两支箭的武功。和射手转职NPC完成对话后，才能学习虎三弓。
659,616,0,{0xFFFFFF00}火光弹是在前方引爆炸药以攻击前方对手的武功{END}。和射手转职NPC完成对话后，才能学习火光弹。
660,617,0,{0xFFFFFF00}鹰爪飞弓是将弓箭弯曲成鹰爪形状进行攻击的武功{END}。和射手转职NPC完成对话后，才能学习鹰爪飞弓。
661,618,0,{0xFFFFFF00}轴环飞击是旋转身体并连续2次进行攻击的武功{END}。和射手转职NPC完成对话后，才能学习轴环飞击。
662,619,0,{0xFFFFFF00}津液弹是可以使对手行动缓慢的武功{END}。和射手转职NPC完成对话后，才能学习津液弹。
663,620,0,{0xFFFFFF00}光速真眼是可以在一定时间内清楚怪物位置的武功{END}。和射手转职NPC完成对话后，才能学习光速真眼。
664,621,0,{0xFFFFFF00}无影退是可以快速后退的武功{END}。和射手转职NPC完成对话后，才能学习无影退。
665,622,0,{0xFFFFFF00}鹰庇佑是可以让回避率和防御力同时上升的武功{END}。和射手转职NPC完成对话后，才能学习鹰庇佑。
666,623,0,{0xFFFFFF00}鸦力妖弓是使用弓攻击对手眼睛的最高等级武功{END}。和射手转职NPC完成对话后，才能学习鸦力妖弓。
667,624,0,{0xFFFFFF00}远程弹是使用大炮发射炮弹的最高等级武功{END}。和射手转职NPC完成对话后，才能学习远程弹。
669,626,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
670,627,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，然后拿着证书和证明去找{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 飞龙掌 ]{END}吧。
671,628,0,击退{0xFFFFFF00}2只[ 鸡冠呛 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 天然聚气 ]{END}武功。
673,630,0,击退{0xFFFFFF00}2只[ 狗骨头 ]{END}，然后跟清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}学习{0xFFFFFF00}[ 连冲跳 ]{END}武功。
674,631,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，拿到证书和证明之后回到清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}处。
675,632,0,击退2只[ 鸡冠呛 ]，然后跟清阴关的[ 乌骨鸡 ]学习[ 天然聚气 ]武功。
676,633,0,成为出击手的第一步。收集1张鸡冠呛符咒，交给白斩姬。
677,634,0,收集1条真鲷交给白斩姬。
678,635,0,{0xFFFFFF00}查看角色的名声，超过100{END}的话与白斩姬对话吧。
679,636,0,成为黑镖手的第一步。收集1张鸡冠呛符咒，交给乌骨鸡。
680,637,0,收集1条真鲷交给乌骨鸡。
681,638,0,确认{0xFFFFFF00}角色的名声，如果超过了100{END}，就与乌骨鸡对话吧。
714,669,0,去找龙林城哞读册，领取不明来历的僧人托付的书
715,670,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
716,671,0,去找龙林城哞读册，领取不明来历的僧人托付的书
717,672,0,为了抵挡地狱狂牛的100次突进，击退100个地狱狂牛之后，回到不明来历的僧人处
718,673,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
719,674,0,为了掌握气的运用方法，击退100个妈妈星星之后，回到不明来历的僧人处吧
720,675,0,看来兰霉匠闹出了什么大事。正派建筑的白斩姬知道详细内容，去见{0xFFFFFF00}白斩姬{END}吧。正派建筑是在清阴关吗？
721,676,0,通过{0xFFFFFF00}泉结界高僧{END}进入{0xFFFFFF00}异界门{END}见{0xFFFFFF00}汉谟拉比商人{END}。
723,678,0,{0xFFFFFF00}梅花幻剑是用剑武士的最高等级武功{END}。和武士转职NPC完成对话后，才能学习梅花幻剑。
724,679,0,{0xFFFFFF00}破天灭是用刀武士的最高等级武功{END}。和武士转职NPC完成对话后，才能学习破天灭。
725,680,0,{0xFFFFFF00}风云雷格是用爪刺客的最高等级武功。可以瞬间移到对手后方进行攻击{END}。和刺客转职NPC完成对话后，才能学习风云雷格。
726,681,0,{0xFFFFFF00}风云投雷是用暗器刺客的最高等级武功。可以瞬间移到对手后方并投掷暗器{END}。和刺客转职NPC完成对话后，才能学习风云投雷。
727,682,0,{0xFFFFFF00}鬼魔神功是受到攻击后消耗一部分鬼力来代替体力消耗的武功{END}。和道士转职NPC完成对话后，才能学习鬼魔神功。
728,683,0,{0xFFFFFF00}爆裂功是可以给前方敌人强力的爆发性攻击的武功{END}。和道士转职NPC完成对话后，才能学习爆裂功。
729,684,0,{0xFFFFFF00}灭绝拳是用斧力士的最高等级武功。高高跳起然后向地面重重砍去的武功{END}。和力士转职NPC完成对话后，才能学习灭绝拳。
730,685,0,{0xFFFFFF00}分光无痕是用轮力士的最高等级武功{END}。高度旋转轮给对手致命伤的武功。和力士转职NPC完成对话后，才能学习分光无痕。
755,713,0,去见见秋叨鱼的旧识{0xFFFFFF00}[ 第一寺 ]{END}的{0xFFFFFF00}[ 主持 ]{END}，探听秋叨鱼的行踪
756,714,0,"重建符咒阵需要{0xFFFFFF00}[ 牛角 ]8个, [ 毒蘑菇 ]10支, [ 幽灵帽子 ] 10个{END}。快收集好交给{0xFFFFFF00}[ 第一寺 ]的[ 主持 ]{END}吧"
757,715,0,符咒阵的另一头不知道会出现什么，准备好了的话就和{0xFFFFFF00}[ 第一寺 ]的[ 主持 ]{END}对话吧
